,0,1
1063,infectious,7
1064,diseases,4
1065,matter,3
1066,consistently,8
1067,supported,6
1068,opposed,1
1069,politicizing,1
1070,military,21
1071,army,14
1072,strive,4
1073,94th,2
1074,defense,26
1075,adviser,9
1076,jingguo,2
1077,forces,7
1078,peaceful,16
1079,subjected,1
1080,independent,9
1081,secretary,49
1082,entitled,1
1083,announcement,4
1084,walked,1
1085,detail,6
1086,dae-jung,1
1087,hong-geol,1
1088,heart,10
1089,100th,5
1090,rep.,20
1091,porcelain,3
1092,congressman,1
1093,longtime,3
1094,devoted,2
1095,passion,1
1096,forget,8
1097,original,1
1098,intention,3
1099,mission,8
1100,rescue,8
1101,search,2
1102,overnight,1
1103,helicopters,1
1104,operation,9
1105,mountaineer,1
1106,carry,5
1107,plan,30
1108,weather,7
1109,gamp,1
1110,timely,3
1111,pakistani,1
1112,airspace,1
1113,hong-bin,1
1114,captain,2
1115,hongbin,1
1116,respectable,1
1117,personal,3
1118,receiving,6
1119,request,2
1120,directed,2
1121,coordinated,1
1122,xinjiang,3
1123,uyghur,3
1124,self-governing,5
1125,district,4
1126,command,1
1127,seung-bae,2
1128,assistant,21
1129,accomplished,1
1130,'china-korea,1
1131,qualitatively,1
1132,direction,12
1133,leader,19
1134,continuously,18
1135,fought,3
1136,strength,6
1137,election,3
1138,gratitude,43
1139,celebrating,3
1140,grown,4
1141,leukemia,1
1142,cancer,1
1143,donation,12
1144,items,5
1145,panda,4
1146,pediatric,1
1147,helping,15
1148,difficult,16
1149,improving,9
1150,wheelchairs,1
1151,dolls,2
1152,pattern,1
1153,masks,14
1154,xiaomi,1
1155,wife,89
1156,pangkun,1
1157,counselor,272
1158,joong-myeong,1
1159,yong-deok,4
1160,tradition,4
1161,shin,24
1162,jeong-seung,6
1163,walks,61
1164,li,31
1165,add,6
1166,jung-seung,1
1167,speeches,17
1168,yong-joon,1
1169,disabilities,2
1170,artists,12
1171,developmental,2
1172,humanistic,5
1173,opinion,2
1174,located,16
1175,kong,15
1176,systems,7
1177,returned,8
1178,citizens,14
1179,listened,5
1180,circumstances,3
1181,modern,7
1182,semi-colonial,1
1183,semi-feudal,1
1184,decline,1
1185,crisis,16
1186,'management,1
1187,degree,2
1188,autonomy,2
1189,implemented,9
1190,realized,1
1191,instigation,1
1192,revolution,3
1193,promoted,16
1194,led,64
1195,complete,5
1196,socialist,4
1197,excellent,19
1198,tokyo,2
1199,preparing,3
1200,striving,4
1201,june,92
1202,investment,37
1203,woo,12
1204,uphold,4
1205,continuous,8
1206,joon-young,1
1207,su-geun,1
1208,creating,2
1209,college,4
1210,confucius,16
1211,atmosphere,20
1212,ewha,4
1213,womans,4
1214,eun-soo,1
1215,ji-eun,2
1216,27th,10
1217,20th,48
1218,14th,16
1219,advanced,5
1220,competed,1
1221,contemporary,3
1222,prosecutors,3
1223,oh-su,1
1224,supreme,6
1225,prosecutor,3
1226,enforcement,7
1227,chief,25
1228,driving,2
1229,force,8
1230,guaranteed,2
1231,intends,7
1232,effectively,7
1233,jeju,13
1234,council,35
1235,moving,5
1236,shoulder,1
1237,activists,2
1238,'hundred,2
1239,photo,12
1240,hee-ryong,1
1241,province,70
1242,nam-su,2
1243,jwa,1
1244,officials,37
1245,attendance,35
1246,ruling,6
1247,ccp,10
1248,celebrated,7
1249,strenuous,1
1250,developments,6
1251,paved,1
1252,suitable,1
1253,summit,8
1254,idea,9
1255,protection,8
1256,aired,2
1257,'diplomat,1
1258,talks,10
1259,broadcasting,17
1260,english-only,1
1261,broadcaster,3
1262,implement,6
1263,'kyoto,1
1264,protocol,1
1265,'paris,1
1266,agreement,11
1267,revealed,3
1268,goals,6
1269,plans,8
1270,conjunction,3
1271,solidarity,2
1272,uijeongbu,3
1273,yanjun,2
1274,curling,1
1275,'friendship,1
1276,wishing,6
1277,pray,1
1278,'uijeongbu-han,1
1279,celebrity,2
1280,sponsored,7
1281,gyeonggi-do,12
1282,stadium,4
1283,byung-yong,2
1284,min-cheol,1
1285,young-hwan,2
1286,sejong,7
1287,increased,6
1288,'sejong,1
1289,interact,1
1290,trainees,1
1291,sang-hyeon,2
1292,jeong-seop,1
1293,high-ranking,10
1294,afraid,2
1295,amount,6
1296,inversely,1
1297,awards,7
1298,winners,8
1299,start,6
1300,achieving,3
1301,visit,131
1302,liaoning,7
1303,17th,15
1304,korea-china-korea-china,1
1305,'with,2
1306,colorful,6
1307,'award,1
1308,lin,5
1309,songtian,1
1310,gao,2
1311,keor,1
1312,consultative,14
1313,assemblyman,6
1314,senior,19
1315,chose,1
1316,poverty,9
1317,shared,26
1318,chapter,1
1319,temple,4
1320,109th,1
1321,dongjesa,1
1322,respected,1
1323,provisional,1
1324,dongje,2
1325,deok-nam,1
1326,imperialism,1
1327,vision,4
1328,comprehensive,24
1329,modernization,4
1330,continues,10
1331,congratulate,5
1332,enemy,3
1333,patriots,3
1334,helped,5
1335,memorial,3
1336,gyeongsangbuk-do,3
1337,young-jin,2
1338,cheol-woo,1
1339,politically,5
1340,trustworthy,1
1341,economically,6
1342,fusion,4
1343,culturally,9
1344,exemplary,1
1345,reality,4
1346,demonstrate,3
1347,wastewater,1
1348,fukushima,1
1349,neighboring,6
1350,dispose,1
1351,discharge,1
1352,treatment,2
1353,sufficient,1
1354,considers,1
1355,organizations,32
1356,attitude,4
1357,respond,23
1358,mbc,2
1359,liberal,1
1360,arts,17
1361,pd,1
1362,smes,5
1363,webinar,3
1364,enterprises,4
1365,sme,1
1366,medium,5
1367,businesses,9
1368,rapidly,34
1369,connected,1
1370,tens,1
1371,investing,1
1372,medium-sized,4
1373,lead,4
1374,'rapid,2
1375,han-dong,3
1376,condolences,31
1377,burial,2
1378,late,6
1379,funeral,1
1380,konkuk,3
1381,hospital,5
1382,tribute,3
1383,conveyed,12
1384,bereaved,2
1385,families,6
1386,commemorates,1
1387,solid,5
1388,regard,2
1389,born,4
1390,prominent,4
1391,politician,1
